지점,지점명,일시,평균기온(°C),합계 강수량(mm),평균 상대습도(%),합계 일조시간(hr)
146,전주,2022,14,1071.5,66.2,2396.9
146,전주,2023,14.8,1986.6,68.2,2350.9
152,울산,2008,14.2,1112.3,65.6,2307.9
152,울산,2009,14.3,1133.2,64.4,2240.9
152,울산,2010,14,1161.6,66.3,2231.5
152,울산,2011,13.7,1233.2,65.3,2225
152,울산,2012,13.7,1458.1,63.4,2288.9
152,울산,2013,14.8,858.3,60.2,2376
152,울산,2014,14.7,1398.7,64.5,2202.8
152,울산,2015,15,1044.6,64.9,2231.5
152,울산,2016,14.8,1693.9,69.9,2371.2
152,울산,2017,14.5,671.4,63.9,2722.1
152,울산,2018,14.3,1416.1,66.3,2579.9
152,울산,2019,14.9,1450.1,65.9,2605.8
152,울산,2020,14.6,1557.9,67.4,2547.6
152,울산,2021,14.9,1337,68.2,2502.6
152,울산,2022,14.7,926.1,61.4,2615.9
152,울산,2023,15,1642.9,63.8,2392.3
155,창원,2008,14.8,1020.5,61.8,2268.7
155,창원,2009,15,1865.9,59.8,2212.9
155,창원,2010,14.5,1766.9,64.2,2155.1
155,창원,2011,14.3,1514,61.7,2177.2
155,창원,2012,14.2,1559.4,60.1,2309.7
155,창원,2013,15,1110,59.5,2735.1
155,창원,2014,14.9,1525.8,62.1,2415.9
155,창원,2015,14.6,1110.7,65.5,2376.9
155,창원,2016,14.9,1893,67.2,2263.1
155,창원,2017,14.8,879.3,63.3,2580
155,창원,2018,14.2,1507.3,67.3,2298.6
155,창원,2019,14.6,1587,62.1,2416.5
155,창원,2020,14.4,1672.8,62.5,2416.5
155,창원,2021,14.9,1710.6,62.4,2463.6
155,창원,2022,14.7,1049.9,58.3,2530.2
155,창원,2023,15.2,2161.1,63.8,2428
156,광주,2008,14.6,1007.2,65,2020.3
156,광주,2009,14.6,1488.2,65.9,2069.2
156,광주,2010,14.2,1573.1,68.7,1873.7
156,광주,2011,13.7,1300.3,68.5,2140.9
156,광주,2012,13.7,1626.8,67.2,2358.7
156,광주,2013,14.2,1245.4,66.3,2489.6
156,광주,2014,14.3,1290.3,64.9,2343.5
156,광주,2015,14.6,1049.6,69.2,2234.9
156,광주,2016,15,1482.3,71.9,2144.2
156,광주,2017,14.6,936.6,68.7,2376.4
156,광주,2018,14.6,1427.9,70.6,2372.5
156,광주,2019,14.7,1085.9,69.2,2290.1
156,광주,2020,14.5,2027,70.9,2225.1
156,광주,2021,15.1,1303.8,72.6,2214.9
156,광주,2022,14.8,769.9,69.2,2362.2
156,광주,2023,15.3,2116.1,74,2211.5
159,부산,2008,15,1168.3,63,2346
159,부산,2009,15.2,1772.9,61.6,2155.7
159,부산,2010,14.9,1441.9,62.3,2250.8
159,부산,2011,14.6,1478.6,60.3,2294.6
159,부산,2012,14.5,1983.3,58.3,2563.4
159,부산,2013,15.3,1130.1,56.9,2771
159,부산,2014,15.1,1693.1,66.3,2481.2
159,부산,2015,15.4,1396.7,67.3,2534.8
159,부산,2016,15.7,1760.2,66.1,2514.9
159,부산,2017,15.2,1014.4,60.3,2718.1
159,부산,2018,15.1,1778.6,63.2,2667.8
159,부산,2019,15.7,1623.2,62.9,2691.3
159,부산,2020,15.2,2281.6,63.7,2441.4
159,부산,2021,15.7,1807.8,64.9,2374.6
159,부산,2022,15.4,991.9,63.7,2491.2
159,부산,2023,16,2191.4,63.1,2395.8
162,통영,2008,14.9,1150,70.2,2313.1
162,통영,2009,14.9,1548.6,71.6,2277.6
162,통영,2010,14,1397.8,73.5,2232.9
162,통영,2011,13.8,1524.9,69.4,2237.8
162,통영,2012,13.7,1611.2,67.8,2291.5
162,통영,2013,14.5,1161.9,68,2548.2
162,통영,2014,14.7,1697.1,70.7,2311.8
162,통영,2015,14.8,1463.8,73.4,2315.5
162,통영,2016,15.3,1993.7,71,2246.2
162,통영,2017,14.9,1249.4,69.3,2604.5
162,통영,2018,14.8,2118.7,70.3,2400
162,통영,2019,15.3,1684.6,69,2416
162,통영,2020,15,2137.7,72.7,2412.7
162,통영,2021,15.6,1800.1,72.8,2496.5
162,통영,2022,15.1,987.8,68.8,2588.9
162,통영,2023,15.5,2134.3,70.8,2274.6
165,목포,2008,14.2,960.5,76.8,2103.8
165,목포,2009,13.8,1088.4,78.6,2170
165,목포,2010,13.5,1335.7,80.8,1972.9
165,목포,2011,13,982.1,77.8,2080.5
165,목포,2012,13.1,1577.5,76.3,2153.8
165,목포,2013,13.8,1089.7,81.4,2354.3
