지점,지점명,일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),합계 일조시간(hr)
95,철원,2015-05,17.6,55,35.8,298
95,철원,2015-06,21.6,65,79.6,274.5
95,철원,2015-07,23.8,76,458,197.7
95,철원,2015-08,24.1,80,140.6,246.5
95,철원,2015-09,18.9,71,32.7,256.6
95,철원,2015-10,12.3,70,64,230.4
95,철원,2015-11,6.6,78,111.5,101.1
95,철원,2015-12,-1.2,71,25.6,168
95,철원,2016-01,-6,57,.9,187.6
95,철원,2016-02,-2.2,54,54.1,186.1
95,철원,2016-03,4.7,56,45.2,236.3
95,철원,2016-04,12.6,54,88.8,218.2
95,철원,2016-05,17.7,62,149.9,248.1
95,철원,2016-06,22.1,69,27.1,230.1
95,철원,2016-07,24.1,83,460.5,153.9
95,철원,2016-08,25.3,80,63.7,230.5
95,철원,2016-09,20.2,76,32.2,202.5
95,철원,2016-10,13.4,74,173.1,185.7
95,철원,2016-11,4.3,70,15.6,142.8
95,철원,2016-12,-1.4,73,69.8,135.1
95,철원,2017-01,-4.4,62,14.5,196.9
95,철원,2017-02,-2.6,60,9.8,201.3
95,철원,2017-03,3.5,58,21.5,216
95,철원,2017-04,12.1,54,63.6,248.1
95,철원,2017-05,17.7,55,36,277.6
95,철원,2017-06,21.3,60,74.2,272.3
95,철원,2017-07,25.5,82,575.2,119.9
95,철원,2017-08,23.6,85,354.9,145.9
95,철원,2017-09,18.8,72,26.6,171.6
95,철원,2017-10,12.8,69,10.8,195.4
95,철원,2017-11,2.7,67,33.5,163.4
95,철원,2017-12,-4.9,66,12.8,171.3
95,철원,2018-01,-7.3,62,7.9,185.7
95,철원,2018-02,-4.4,52,14.4,206.4
95,철원,2018-03,6.2,64,33.6,202.7
95,철원,2018-04,11.2,61,139.4,203.6
95,철원,2018-05,16.8,68,263.1,231.4
95,철원,2018-06,21.7,70,122.3,232.2
95,철원,2018-07,25.4,80,174.2,234.6
95,철원,2018-08,26.3,79,527,235.2
95,철원,2018-09,18.8,77,55.4,206.9
95,철원,2018-10,9.9,77,74.8,217.6
95,철원,2018-11,4.5,77,60.2,159
95,철원,2018-12,-4,62,8.3,190.8
95,철원,2019-01,-4.9,57,0,208.3
95,철원,2019-02,-1.7,63,20.6,205.6
95,철원,2019-03,4.5,66,23.3,230.7
95,철원,2019-04,9.9,63,28,236.2
95,철원,2019-05,17.8,59,26.4,340
95,철원,2019-06,20.9,77,57.1,284.6
95,철원,2019-07,24.2,84,305.3,211.8
95,철원,2019-08,24.8,87,156.9,267.7
95,철원,2019-09,20,86,199.1,201.4
95,철원,2019-10,13.7,82,30.8,227.7
95,철원,2019-11,4.5,79,53,191.4
95,철원,2019-12,-1.1,81,20,149.1
95,철원,2020-01,-1.2,79,79.7,179.8
95,철원,2020-02,0,79,46.8,180.2
95,철원,2020-03,5.5,63,16.9,258.7
95,철원,2020-04,9.1,58,20.9,288.8
95,철원,2020-05,16.9,79,161.7,241.9
95,철원,2020-06,22.5,79,92.2,267.3
95,철원,2020-07,22.8,89,184.5,210.6
95,철원,2020-08,25.1,96,903,136.8
95,철원,2020-09,18.8,88,166,213.3
95,철원,2020-10,10.9,78,4.1,244
95,철원,2020-11,5,78,72.3,182.4
95,철원,2020-12,-3.9,73,1.2,193.4
95,철원,2021-01,-5.9,70,7.6,189.5
95,철원,2021-02,.1,64,4.8,203
95,철원,2021-03,6.2,75,103.7,240.7
95,철원,2021-04,12,65,99.3,262
95,철원,2021-05,15.5,79,199.1,247.5
95,철원,2021-06,21.2,86,67.6,247.4
95,철원,2021-07,26.1,88,117.2,289.1
95,철원,2021-08,23.6,90,219.6,211.3
95,철원,2021-09,20.3,86,105.9,231.6
95,철원,2021-10,12.7,86,128.3,196.1
95,철원,2021-11,5.3,79,57.3,174.1
95,철원,2021-12,-2.1,76,4.9,177.3
95,철원,2022-01,-5.8,73,2.5,211
95,철원,2022-02,-3.9,62,8.9,219.4
95,철원,2022-03,5.2,72,90.9,219.7
95,철원,2022-04,12.6,61,17.9,281.5
95,철원,2022-05,16.7,67,14.5,327.7
95,철원,2022-06,21.2,86,437.2,195.6
95,철원,2022-07,25.2,85,247.6,227.5
95,철원,2022-08,24,87,420.4,176.3
95,철원,2022-09,19.4,78,257.4,236.3
95,철원,2022-10,11.4,80,162.1,211.6
95,철원,2022-11,6.6,77,85.2,179.3
95,철원,2022-12,-6.8,70,8.1,197.1
95,철원,2023-01,-5.8,75,42.2,177.1
95,철원,2023-02,-.9,68,0,203.1
95,철원,2023-03,6.7,58,12.5,257.9
95,철원,2023-04,11.7,64,97.5,213.9
95,철원,2023-05,17.4,67,161.9,280.8
95,철원,2023-06,21.7,78,220.4,234.1
95,철원,2023-07,25.4,86,383.4,202.3
95,철원,2023-08,25.1,85,241.6,198.5
95,철원,2023-09,21.3,84,102.9,192.8
95,철원,2023-10,12.4,79,30.5,229.3
95,철원,2023-11,4.3,73,104.9,161
95,철원,2023-12,-1.9,79,69.4,148.4
98,동두천,2008-01,-3.5,62,6.7,162
98,동두천,2008-02,-2.5,55,8.5,225.1
98,동두천,2008-03,6.2,65,44.3,172.5
98,동두천,2008-04,13.3,58,36.3,201.2
98,동두천,2008-05,16.8,66,89.6,196.8
98,동두천,2008-06,20.8,72,155.2,174
98,동두천,2008-07,24.5,84,725.6,80.9
98,동두천,2008-08,24.5,77,233.1,220.4
98,동두천,2008-09,20.2,76,123.3,195.3
98,동두천,2008-10,14.4,72,37.1,186.1
98,동두천,2008-11,5.9,66,23.9,163.8
98,동두천,2008-12,0,64,34.6,159
98,동두천,2009-01,-3.5,59,2.9,209.2
98,동두천,2009-02,2.1,62,40.7,126.5
98,동두천,2009-03,5.4,57,58.7,185.3
98,동두천,2009-04,11.6,57,69.5,192.1
98,동두천,2009-05,18.3,62,115.7,234.1
98,동두천,2009-06,21.3,72,124.6,176.2
98,동두천,2009-07,23.3,80,476.6,134.9
98,동두천,2009-08,24.4,76,448.3,164.6
98,동두천,2009-09,19.8,74,24,197.2
98,동두천,2009-10,13.9,70,78.3,209.9
98,동두천,2009-11,5.7,69,68.8,119
98,동두천,2009-12,-2.1,65,19.7,138.1
98,동두천,2010-01,-5.5,69,25.2,173.4
98,동두천,2010-02,.5,63,46.7,141.5
98,동두천,2010-03,3.9,62,81.1,129.1
98,동두천,2010-04,8.8,57,61.1,158.2
98,동두천,2010-05,16.3,66,112.2,172.7
98,동두천,2010-06,22.1,69,269.1,212.1
98,동두천,2010-07,24.8,79,324.4,107
98,동두천,2010-08,25.2,84,512.6,104.6
98,동두천,2010-09,20.2,78,432.5,144.4
98,동두천,2010-10,12.6,69,28.4,190.5
98,동두천,2010-11,4.8,56,16.8,170.8
98,동두천,2010-12,-2.5,58,29.4,141.6
98,동두천,2011-01,-8.8,57,6.3,226.1
98,동두천,2011-02,-.1,55,29.1,170.2
98,동두천,2011-03,3.1,48,6.5,239.7
98,동두천,2011-04,9.9,53,95.9,188.4
98,동두천,2011-05,16.8,60,132.8,191.3
98,동두천,2011-06,21.2,69,383.1,185.9
98,동두천,2011-07,23.8,81,1223.5,86.5
98,동두천,2011-08,24.3,78,272.7,96.5
98,동두천,2011-09,19.6,69,32.4,184.5
98,동두천,2011-10,12.1,66,35.6,216.5
98,동두천,2011-11,9.1,69,85.4,139.6
98,동두천,2011-12,-2.5,62,7.9,186.6
98,동두천,2012-01,-4.5,57,5.6,192.6
98,동두천,2012-02,-3.4,50,.1,227.6
98,동두천,2012-03,4.1,57,32.9,188.7
98,동두천,2012-04,11.6,57,129,214.7
98,동두천,2012-05,18.2,57,20.6,254.6
98,동두천,2012-06,22.9,61,144.5,239.2
98,동두천,2012-07,24.8,79,278,131.8
98,동두천,2012-08,26.1,75,397.2,174.9
98,동두천,2012-09,19.7,74,171.1,194.5
98,동두천,2012-10,13.7,69,99.8,237.7
98,동두천,2012-11,4.6,66,71.2,172.4
98,동두천,2012-12,-5.3,66,33.9,179.5
98,동두천,2013-01,-5,69,19.1,150.7
98,동두천,2013-02,-2,62,50.7,183.7
98,동두천,2013-03,4.7,54,24.5,256.9
98,동두천,2013-04,9.6,58,74.8,200.6
98,동두천,2013-05,17.9,63,117.5,234.8
98,동두천,2013-06,23.6,66,18.8,244.5
98,동두천,2013-07,24.7,83,818.7,104
98,동두천,2013-08,26.5,76,124.6,224.6
